,target-0.2_stop-2.0,target-0.2_stop-2.3,target-0.2_stop-2.6,target-0.2_stop-2.9,target-0.2_stop-3.2,target-0.4_stop-2.0,target-0.4_stop-2.3,target-0.4_stop-2.6,target-0.4_stop-2.9,target-0.4_stop-3.2,target-0.6_stop-2.0,target-0.6_stop-2.3,target-0.6_stop-2.6,target-0.6_stop-2.9,target-0.6_stop-3.2,target-0.8_stop-2.0,target-0.8_stop-2.3,target-0.8_stop-2.6,target-0.8_stop-2.9,target-0.8_stop-3.2,target-1.0_stop-2.0,target-1.0_stop-2.3,target-1.0_stop-2.6,target-1.0_stop-2.9,target-1.0_stop-3.2,target-1.2_stop-2.0,target-1.2_stop-2.3,target-1.2_stop-2.6,target-1.2_stop-2.9,target-1.2_stop-3.2
segmentId,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713,560452713
segmentInd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
segmentInfo.pair.joinedSymbol,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD,SOL/USD
segmentInfo.pair.baseSymbol,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL,SOL
segmentInfo.pair.quoteSymbol,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
segmentInfo.intervalS,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
segmentInfo.start_time,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00,2022-01-08 00:45:00+00:00
segmentInfo.end_time,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00,2022-01-11 12:04:59.999000+00:00
backtestParams.segmentsParams,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
backtestParams.entriesInfo,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted,deleted
